STT,Word,Lucky_number
1,Ân ái,25 - 75
2,Ăn cá to,05 - 60
3,Ăn cắp xe đạp,34
4,Ăn chay,86 - 85
5,Ăn chua,93 - 39
6,Ăn chuối,34 - 64
7,Ăn cỗ,93 - 67
8,Ăn cơm,74 - 85
9,Ăn củ đậu,38 - 39
10,Ăn hàng,03 - 04 - 52 - 19
11,Ăn hoa quả,84 - 68
12,Ăn khoai,75 - 85 - 58
13,Ăn mày,01
14,Ăn no quá,95 - 79
15,Ăn thịt mèo,19 - 91
16,Ăn thịt người,83 - 85
17,Ăn tiệc,83 - 87
18,Ăn tiệm,26 - 56 - 21
19,Ăn tôm,83 - 89
20,Ăn trộm cá,63 - 78 - 87
21,Ăn trộm xe máy,04
22,Ăn trộm,01 - 90
23,Ăn trưa,01 - 02 - 92
24,Ảnh bà cụ,54 - 59
25,Ánh chớp,53
26,Anh em gặp nhau,01
27,Áo bay,40 - 45
28,Áo bu dông,08 - 06 - 56
29,Áo của chồng,07 - 70
30,Áo của phụ nữ,00 - 02
31,Áo của vợ,09 - 19 - 91
32,Áo dài nữ,64 - 46
33,Ao hồ sông ngòi,38 - 93 - 54
34,Áo hoa,22 - 33
35,Áo len,34 - 84
36,Áo lót,09 - 59
37,Áo mưa,87 - 42 - 07 - 67
38,Áo tây,00 - 04
39,Áo thể thao,43 - 34
40,Áo trẻ em,01 - 00 - 05
41,Ao ước,25 - 52
42,Áo vét,95 - 54 - 59
43,Ba ba,76
44,Ba bố con ăn no,19
45,Bà chết sống lại,93 - 96
46,Bà chửa,"09, 29, 39"
47,Bà già trẻ em,14 - 41
48,Bà vãi,36 - 76
49,Bãi biển,25 - 93
50,Bãi cá,95 - 83
51,Bài có tứ quý,63 - 64
52,Bãi tha ma,78 - 87
53,Bàn ăn bầy đẹp,06
54,Bàn ăn dọn sạch,42 - 46
55,Bắn bị thương,48
56,Bàn cờ,14 - 54 - 74 - 94
57,Bắn cung tên,77 - 72
58,Bán hàng,18 - 28 - 98
59,Bạn hiền,38 - 83
60,Bán nhẫn vàng,67
61,Bàn thờ bị đổ,05 - 55
62,Bàn thờ nghi ngút,89 - 98
63,Bàn thờ,15 - 43 - 46 - 95
64,Băng đạn,32
65,Bằng lòng đồng ý,52 - 32
66,Bánh dày,85
67,Bánh mì đen,35 - 54
68,Bánh ngọt,52 - 02
69,Bánh pháo,34
70,Bánh tẩm bột rán,53 - 65
71,Bánh xe,82
72,Bao diêm,65
73,Bảo lãnh đỡ đầu,86
74,Bảo vật,06 - 31 - 63 - 82
75,Báo,26 - 62
76,Bắp cải,50 - 52
77,Bắp ngô,85 - 35 - 53
78,Bắt bớ,05 - 19
79,Bắt cá ở suối,45
80,Bát đĩa,85 - 87
81,Bắt được nhiều cá,23 - 65 - 08 - 56
82,Bật lửa,07 - 70 - 75
83,Bất lực,26 - 32
84,Bát ngọc,30 - 70
85,Bát nhang,02 - 52 - 24
86,Bắt rận cho chó,93 - 83
87,Bát,31 - 38
88,Bẻ gẫy đập vỡ,96 - 04
89,Bè gỗ,19 - 69
90,Bẻ ngô,53 - 35
91,Bể nước ăn,45 - 62 - 21
92,Bể nước,62 - 81
93,Bể nuôi cá cảnh,14 - 54
94,Bến xe,58 - 98
95,Bếp củi cháy to,96 - 21
96,Bếp đun,40 - 49
97,Bếp lò,43 - 63 - 83
98,Bẹp lốp xe,58 - 98
99,Bếp lửa,20 - 25 - 54
100,Bị bỏng lửa,69 - 80
101,Bị bỏng nước sôi,02
102,Bị bỏng vào đùi,17 - 71
103,Bị bỏng vào mồm,16 - 50 - 15
104,Bị bỏng vào tay,17 - 21
105,Bị con gái bắt nạt,65 - 07
106,Bị đấm,58
107,Bị đánh bằng dao,01 - 12
108,Bị đánh bất ngờ,91 - 41
109,Bị ghép tội,46 - 73 - 21
110,Bị giật dây chuyền,65
111,Bị giật đồng hồ,06 - 41
112,Bị kẻ thù dọa,39 - 72
113,Bị mẹ chửi rủa,83 - 97
114,Bị mẹ chửi,16 - 37
115,Bị phạt,51 - 56
116,Bị tấn công,02 - 05
117,Bị thủ tiêu,06 - 14
118,Bị thương,03 - 90 - 63
119,Bị trấn lột,84 - 85
120,Bị vây đuổi,83 - 38
121,Bia mộ,05 - 85
122,Biển cạn,58 - 53
123,Biển xanh,68 - 83 - 06
124,Biển,58
125,Biếu cụ,58 - 85
126,Bộ mặt buồn,51 - 56
127,Bố bế con gái,07 - 57
128,Bố bế con trai,81 - 11 - 52
129,Bổ củi,83
130,Bỏ mặc,01 - 10 - 11 - 16
131,Bộ mặt đẹp,22 - 98 - 39
132,Bộ mặt sầu,42 - 61
133,Bộ mặt tươi cười,41 - 46
134,"Bố mẹ, bố con",20 - 60 - 21
135,Bố nuôi,60 - 70
136,Bộ quần áo vá,06 - 90
137,Bỏ thuốc lá,12 - 21
138,Bơi giữa sông,89 - 98
139,Bơi lội,83 - 38 - 63 - 28
140,Bơi nước trong,89 - 39
141,Bom đạn,22 - 62
142,Bốn người khiêng quan tài,43 - 44 - 54
143,Bóng bàn,15 - 95 - 49
144,Bóng đá,62
145,Bóng đen,58
146,Bông hoa,39
147,Bóng ma,72 - 85
148,Bóng rổ,02
149,Bông sen,24 - 74
150,Bù nhìn,27 - 29 - 79
151,Bữa ăn một mình,74 - 31 - 84 - 14 - 16
152,Bùa giải,16 - 18 - 78
153,Bụi cây,"56, 65"
154,Bùn đầm lầy,82 - 62
155,Bùn lấy,73 - 37 - 23
156,Buộc mắc dây,07 - 14
157,Bươm bướm,26 - 62
158,Buồn phiền,42 - 32
159,Buồn vì chồng,01 - 07
160,Buồn vì vợ,09 - 90
161,Buồng cau,10 - 30 - 70 - 75
162,Buồng chuối,70 - 72
163,Buồng kín,41 - 70 - 72
164,Cá cảnh,40
165,Cá chép,58
166,Cá chuối,59
167,Cá chuồn,76
168,Ca hát vui chơi,19 - 29
169,Ca hát,07 - 57 - 94
170,Cá lóc,68
171,Cá mây chiều,28 - 82
172,Cá nướng,48
173,Cá quả,45
174,Cá rô,20 - 40 - 82
175,Cá sấu,89
176,Cá thường,56
177,Cá to nhỏ,09
178,Cá trạch,85
179,Cá trắm,01 - 41 - 81 - 43
180,Cá trắng,46
181,Cá trê,48
182,Cá vàng,20 - 29
183,Cá,79
184,Cái bàn,95
185,Cái bình,85
186,Cái cân,89 - 86
187,Cái câu,01 - 26 - 73
188,Cái cày,26 - 75 - 56
189,Cái chậu,94 - 32
190,Cái chày,11 - 98
191,Cái chén,93
192,Cái chổi,85 - 93
193,Cái chum,75 - 35
194,Cái cù,02 - 32 - 62
195,Cái dấu,25 - 75
196,Cái ghế,49 - 68
197,Cái giếng,92 - 29
198,Cái kẹo,36 - 02
199,Cái kim,84 - 34
200,Cái kính,85
201,Cái làn,84 - 85
202,Cái mả,30 - 70 - 40 - 90
203,Cái mai,19 - 91 - 87
204,Cái mâm,18 - 81 - 86
205,Cái màn xanh,14 - 41
206,Cái màn,85 - 97
207,Cái miệng,78
208,Cái miếu,63 - 68
209,Cái môi,00 - 75
210,Cái mũ,28 - 46 - 86 - 68
211,Cái muôi,71
212,Cái nhà,27 - 77 - 91 - 41
213,Cái nhẫn,81
214,Cãi nhau,36 - 37 - 68
215,Cái nhìn hẹp hòi,72 - 72
216,Cái nhìn nham hiểm,61 - 49
217,Cái nhìn tốt,27 - 72
218,Cái nón,05 - 15 - 75
219,Cái tát,06
220,Cái tẩu,26 - 75 - 21
221,Cái thìa,54
222,Cái thuổng,94 - 96
223,Cái tích,93
224,Cái xẻng,63 - 64
225,Cái xích,79 - 82
226,Căn buồng bình thường,20 - 21 - 40 - 60
227,Cần câu,26 - 75
228,Cảnh buồn,46
229,Cánh cửa cũ,44 - 94
230,Cánh cửa mới đóng,42 - 43 - 52
231,Cánh cửa,28 - 83
232,Cánh tay lông lá,42
233,Cánh tay,18 - 81
234,Cào cào,53
235,Cạo râu,83 - 84
236,Cắt tóc nam,14 - 54 - 65 - 45
237,Cắt tóc nữ,57 - 85
238,Cắt tóc,82 - 83 - 85
239,Cát,36 - 63
240,Câu cá ao hồ,08 - 80 - 85
241,Câu cá rô,76
242,Câu được cá,83 - 33
243,Câu được rắn,01 - 81
244,Cầu vồng,04 - 40 - 45
245,Cây cảnh trong nhà,06
246,Cày cấy,09 - 90 - 89
247,Cây chuối,34 - 84
248,Cây cổ thụ,50 - 54
249,Cây khế,07 - 70
250,Cây không hoa,75 - 85
251,Cây nhiều lộc,04 - 05
252,Cây nở hoa,43 - 16 - 61
253,Cây sai quả,49 - 73 - 36
254,Cây to,33 - 66 - 76
255,Cây xoan,49 - 94
256,Chải chuốt,20 - 30 - 60
257,Chai lọ,34 - 50
258,Chái thìa,63
259,Chai,94 - 86
260,Chăn gối,46 - 47 - 70
261,Cánh chim,01 - 65
262,Cháo lòng,49 - 97
263,Chấy đầy đầu,57 - 59
